Id	pop	system	habitat	ind	sex	species	centroid _size	BD	SL	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	x14	y14	x15	y15	x16	y16	x17	y17
Ka2_15_l_MK_G3_f_0_Abur	Ka2	Kalambo	l	MKG3	f	Abur	78.11433517	21.45996909	53.97069221	-0.278859949	0.010817499	-0.242994295	-0.038718794	-0.227124475	0.032764135	-0.166443014	0.036609631	-0.199558084	0.064672944	-0.195173435	0.00461525	-0.130046984	-0.100777192	-0.021009251	-0.125031644	-0.036741116	-0.078128856	-0.056562163	-0.023329189	-0.087021325	0.056498681	-0.028852046	0.149809405	0.324686496	0.076012957	0.409815012	0.074023811	0.414252881	-0.018824271	0.330977611	-0.034283277	0.190654138	-0.086731088
Ka2_15_r_MK_B8_m_0_Abur	Ka2	Kalambo	r	MKB8	m	Abur	100.3186428	29.01275849	69.76325161	-0.279831472	0.009427528	-0.22416138	-0.040931058	-0.222405389	0.03437915	-0.161349622	0.037451287	-0.192914619	0.066468269	-0.189293463	0.004438703	-0.137131779	-0.09473879	-0.017122631	-0.127282128	-0.035166221	-0.077543214	-0.052441636	-0.0232545	-0.078440864	0.064206546	-0.082425608	0.154762717	0.32661324	0.08806401	0.413753575	0.070914512	0.415090051	-0.025300606	0.335091311	-0.040859502	0.182136507	-0.100202924
Ka2_15_r_MK_B9_m_0_Abur	Ka2	Kalambo	r	MKB9	m	Abur	85.72393968	23.81189694	58.98922089	-0.270867784	0.016517484	-0.231573977	-0.037804553	-0.222541772	0.034762649	-0.163698507	0.036704944	-0.194415829	0.066005806	-0.191849458	0.006036197	-0.133819721	-0.094831552	-0.024350775	-0.128802111	-0.042003693	-0.080478274	-0.058131763	-0.027472313	-0.084766514	0.054550918	-0.061567953	0.146760813	0.329760219	0.083214253	0.415573653	0.075344562	0.417291317	-0.018699848	0.3324817	-0.03445318	0.184480859	-0.097355795
Ka2_15_r_MK_C1_m_0_Abur	Ka2	Kalambo	r	MKC1	m	Abur	96.20859471	26.93628949	66.04696125	-0.268155096	0.012263169	-0.237255405	-0.034823344	-0.22105445	0.03257023	-0.162494958	0.034949267	-0.192438314	0.063065648	-0.189481293	0.003479579	-0.131763685	-0.09457361	-0.025661427	-0.123631431	-0.039088522	-0.076742416	-0.049862907	-0.030241746	-0.090833008	0.06071178	-0.069523018	0.153163119	0.332005766	0.079039078	0.416223305	0.07529146	0.420325128	-0.018026688	0.330335486	-0.036225297	0.178722397	-0.1002688
Ka2_15_r_MK_C2_m_0_Abur	Ka2	Kalambo	r	MKC2	m	Abur	83.49415412	21.6652096	57.47769045	-0.271369351	0.005768566	-0.23450887	-0.037881291	-0.223860714	0.032001357	-0.167941029	0.032890607	-0.196103909	0.062490107	-0.195089218	0.001823719	-0.130740005	-0.092243272	-0.017714442	-0.114227606	-0.035017843	-0.067099853	-0.048827612	-0.017498297	-0.090193927	0.06231624	-0.079086931	0.138168621	0.34054728	0.080243443	0.415402343	0.062620413	0.415485066	-0.030168648	0.33288533	-0.034161019	0.186133831	-0.085043087
Ka2_15_r_MK_C3_m_0_Abur	Ka2	Kalambo	r	MKC3	m	Abur	101.4034092	28.20010315	70.34628426	-0.278329129	0.009841188	-0.234825807	-0.040045299	-0.224010231	0.035965068	-0.163970556	0.039412789	-0.19548477	0.067966334	-0.191578146	0.008441099	-0.121388403	-0.097172937	-0.015512744	-0.124367518	-0.033605601	-0.073519189	-0.053716967	-0.03011086	-0.08491957	0.061108461	-0.076131752	0.147283602	0.329821169	0.085395243	0.413480932	0.069658838	0.414072181	-0.025768204	0.33397956	-0.038206292	0.182119835	-0.095882324
Ka2_15_r_MK_C4_f_0_Abur	Ka2	Kalambo	r	MKC4	f	Abur	96.93514933	26.71537561	67.21494841	-0.277868835	0.013165603	-0.235920269	-0.038205952	-0.222473084	0.035290923	-0.165118233	0.038010867	-0.195666982	0.065304095	-0.19292292	0.007437509	-0.139834811	-0.094709087	-0.016730478	-0.12631035	-0.032979393	-0.075775794	-0.044970067	-0.028622191	-0.083325787	0.055249315	-0.063481797	0.145461279	0.321684138	0.084179551	0.413733603	0.069060704	0.421901666	-0.016759283	0.330669691	-0.04057285	0.183303558	-0.09220434
Ka2_15_r_MK_C5_m_0_Abur	Ka2	Kalambo	r	MKC5	m	Abur	75.21038004	19.33416355	52.18124425	-0.275735637	0.012020936	-0.23738599	-0.037211242	-0.226153552	0.029439681	-0.166711466	0.032267566	-0.198219237	0.061537738	-0.195329388	7.91E-04	-0.131488533	-0.089124877	-0.022193227	-0.115989835	-0.038050771	-0.071577409	-0.053505922	-0.021911322	-0.082776768	0.056560696	-0.055936337	0.139004075	0.332452753	0.078918829	0.415993169	0.070460671	0.420465815	-0.023579697	0.329435223	-0.036422181	0.185139868	-0.085184157
Ka2_15_r_MK_C6_m_0_Abur	Ka2	Kalambo	r	MKC6	m	Abur	104.7744727	28.63353764	71.47039211	-0.267951126	0.018685765	-0.234269632	-0.035864876	-0.217689247	0.032818139	-0.163463905	0.034390066	-0.191619671	0.061727467	-0.189210055	0.007134692	-0.132270715	-0.092244103	-0.02952494	-0.122651818	-0.047870935	-0.077564794	-0.055883896	-0.034389293	-0.089191069	0.053068919	-0.069428547	0.148164255	0.334941604	0.083950823	0.413114882	0.075262273	0.416282831	-0.017860473	0.342375219	-0.036459482	0.181659202	-0.098167562
Ka2_15_r_MK_C7_m_0_Abur	Ka2	Kalambo	r	MKC7	m	Abur	61.68346171	15.8097223	43.33734189	-0.287517624	0.00880646	-0.244220082	-0.039540213	-0.228280822	0.028426273	-0.161950017	0.031095356	-0.197607245	0.065288538	-0.193383599	-0.004422285	-0.118130907	-0.096151115	-0.023972148	-0.109385966	-0.033707168	-0.067643347	-0.048037633	-0.01713846	-0.074860067	0.06112617	-0.062439337	0.144140986	0.334877627	0.07703493	0.412895629	0.067837856	0.417652819	-0.026073499	0.330262746	-0.036736252	0.178417829	-0.086665434
